MINISTERIO DE DEFENSA NACIONAL;;;;;;;
POLICÍA NACIONAL;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
DIRECCIÓN DE INVESTIGACIÓN CRIMINAL E INTERPOL;;;;;;;
GRUPO DE INFORMACIÓN DE CRIMINALIDAD;;;;;;;
VIOLENCIA INTRAFAMILIAR ;;;;;;;
PERÍODO DEL 01 DE ENERO AL 31 DE ENERO DEL 2024;;;;;;;
ARMA MEDIO ;DEPARTAMENTO ;MUNICIPIO ;FECHA HECHO ;GENERO ;*AGRUPA_EDAD_PERSONA;CODIGO DANE ;CANTIDAD 
ARMA BLANCA / CORTOPUNZANTE;AMAZONAS;Leticia (CT);21/01/2024;MASCULINO;ADULTOS;91001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Barbosa;07/01/2024;MASCULINO;MENORES;05079000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;El Carmen de Viboral;05/01/2024;MASCULINO;ADULTOS;05148000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Fredonia;21/01/2024;FEMENINO;ADULTOS;05282000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Fredonia;21/01/2024;MASCULINO;ADULTOS;05282000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;La Pintada;14/01/2024;MASCULINO;ADULTOS;05390000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Medellín (CT);21/01/2024;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Medellín (CT);28/01/2024;MASCULINO;ADULTOS;05001000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Medellín (CT);30/01/2024;FEMENINO;ADULTOS;05001004;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Santa Rosa de Osos;20/01/2024;MASCULINO;ADULTOS;05686000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Tarazá;25/01/2024;FEMENINO;ADULTOS;05790000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Urrao;23/01/2024;MASCULINO;ADULTOS;05847000;1
ARMA BLANCA / CORTOPUNZANTE;ATLÁNTICO;Barranquilla (CT);02/01/2024;MASCULINO;ADULTOS;08001000;1
ARMA BLANCA / CORTOPUNZANTE;BOLÍVAR;Cartagena (CT);01/01/2024;FEMENINO;ADULTOS;13001000;1
ARMA BLANCA / CORTOPUNZANTE;BOLÍVAR;Cartagena (CT);01/01/2024;MASCULINO;ADULTOS;13001000;1
ARMA BLANCA / CORTOPUNZANTE;BOLÍVAR;Cartagena (CT);04/01/2024;MASCULINO;ADULTOS;13001000;1
ARMA BLANCA / CORTOPUNZANTE;BOLÍVAR;Cartagena (CT);17/01/2024;FEMENINO;ADULTOS;13001000;1
ARMA BLANCA / CORTOPUNZANTE;BOLÍVAR;Cartagena (CT);26/01/2024;MASCULINO;ADULTOS;13001000;1
ARMA BLANCA / CORTOPUNZANTE;BOLÍVAR;San Juan Nepomuceno;05/01/2024;FEMENINO;ADULTOS;13657000;1
ARMA BLANCA / CORTOPUNZANTE;BOYACÁ;Chiquinquirá;14/01/2024;FEMENINO;ADULTOS;15176000;1
ARMA BLANCA / CORTOPUNZANTE;BOYACÁ;Chiquinquirá;18/01/2024;FEMENINO;ADULTOS;15176000;1
ARMA BLANCA / CORTOPUNZANTE;BOYACÁ;Duitama;30/01/2024;MASCULINO;ADULTOS;15238000;2
ARMA BLANCA / CORTOPUNZANTE;BOYACÁ;Puerto Boyacá;29/01/2024;FEMENINO;ADULTOS;15572000;2
ARMA BLANCA / CORTOPUNZANTE;BOYACÁ;Sutatenza;28/01/2024;MASCULINO;ADULTOS;15778000;1
ARMA BLANCA / CORTOPUNZANTE;BOYACÁ;Tuta;09/01/2024;FEMENINO;ADULTOS;15837000;1
ARMA BLANCA / CORTOPUNZANTE;BOYACÁ;Ventaquemada;27/01/2024;FEMENINO;ADULTOS;15861000;1
ARMA BLANCA / CORTOPUNZANTE;BOYACÁ;Ventaquemada;27/01/2024;MASCULINO;ADULTOS;15861000;1
ARMA BLANCA / CORTOPUNZANTE;CALDAS;Chinchiná;25/01/2024;MASCULINO;ADULTOS;17174000;1
ARMA BLANCA / CORTOPUNZANTE;CALDAS;La Dorada;12/01/2024;FEMENINO;ADULTOS;17380000;2
ARMA BLANCA / CORTOPUNZANTE;CALDAS;Palestina;22/01/2024;MASCULINO;ADULTOS;17524000;1
ARMA BLANCA / CORTOPUNZANTE;CASANARE;Yopal (CT);11/01/2024;MASCULINO;ADULTOS;85001000;1
ARMA BLANCA / CORTOPUNZANTE;CAUCA;Popayán (CT);20/01/2024;FEMENINO;ADULTOS;19001000;1
ARMA BLANCA / CORTOPUNZANTE;CAUCA;Popayán (CT);22/01/2024;FEMENINO;ADULTOS;19001000;1
ARMA BLANCA / CORTOPUNZANTE;CESAR;Valledupar (CT);15/01/2024;FEMENINO;ADULTOS;20001000;1
ARMA BLANCA / CORTOPUNZANTE;CUNDINAMARCA;Bogotá D.C. (CT);01/01/2024;MASCULINO;ADULTOS;11001000;1
ARMA BLANCA / CORTOPUNZANTE;CUNDINAMARCA;Bogotá D.C. (CT);20/01/2024;FEMENINO;ADULTOS;11001000;1
ARMA BLANCA / CORTOPUNZANTE;CUNDINAMARCA;Bogotá D.C. (CT);25/01/2024;FEMENINO;ADOLESCENTES;11001000;1
ARMA BLANCA / CORTOPUNZANTE;CUNDINAMARCA;Bogotá D.C. (CT);29/01/2024;FEMENINO;ADULTOS;11001000;1
ARMA BLANCA / CORTOPUNZANTE;CUNDINAMARCA;Caqueza;03/01/2024;MASCULINO;ADULTOS;25151000;1
ARMA BLANCA / CORTOPUNZANTE;CUNDINAMARCA;Ricaurte;25/01/2024;MASCULINO;ADULTOS;25612000;1
ARMA BLANCA / CORTOPUNZANTE;CUNDINAMARCA;Une;08/01/2024;FEMENINO;ADULTOS;25845000;1
ARMA BLANCA / CORTOPUNZANTE;GUAJIRA;Maicao;28/01/2024;FEMENINO;ADULTOS;44430000;1
ARMA BLANCA / CORTOPUNZANTE;GUAJIRA;San Juan del Cesar;28/01/2024;FEMENINO;ADULTOS;44650000;1
ARMA BLANCA / CORTOPUNZANTE;HUILA;Neiva (CT);14/01/2024;MASCULINO;ADULTOS;41001000;1
ARMA BLANCA / CORTOPUNZANTE;HUILA;Neiva (CT);16/01/2024;FEMENINO;ADULTOS;41001000;1
ARMA BLANCA / CORTOPUNZANTE;META;Fuente de Oro;17/01/2024;FEMENINO;ADULTOS;50287000;1
ARMA BLANCA / CORTOPUNZANTE;META;Villavicencio (CT);17/01/2024;FEMENINO;ADULTOS;50001000;1
ARMA BLANCA / CORTOPUNZANTE;NORTE DE SANTANDER;Cúcuta (CT);03/01/2024;FEMENINO;ADULTOS;54001000;2
ARMA BLANCA / CORTOPUNZANTE;NORTE DE SANTANDER;Cúcuta (CT);30/01/2024;FEMENINO;ADULTOS;54001000;1
ARMA BLANCA / CORTOPUNZANTE;NORTE DE SANTANDER;Ocaña;16/01/2024;FEMENINO;ADULTOS;54498000;1
ARMA BLANCA / CORTOPUNZANTE;NORTE DE SANTANDER;Ocaña;25/01/2024;FEMENINO;ADULTOS;54498000;1
ARMA BLANCA / CORTOPUNZANTE;RISARALDA;Dosquebradas;02/01/2024;FEMENINO;ADULTOS;66170000;1
ARMA BLANCA / CORTOPUNZANTE;RISARALDA;Pereira (CT);06/01/2024;FEMENINO;ADULTOS;66001000;1
